,Season,1stA,2ndA,3rdA,4thA,FinalA,MLA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,FinalB,MLB,TeamB,Date,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,winning_name,losing_name
12194,2017,21.0,31.0,34.0,30.0,116.0,-125.0,Houston Rockets,V,26.0,22.0,0.5,24.0,26.0,98.0,105.0,Chicago Bulls,12-22-2016,214.0,180.5,184.0,-0.0,1.5,18.0,Houston Rockets,Chicago Bulls
12195,2017,16.0,23.0,24.0,27.0,90.0,1500.0,Los Angeles Clippers,V,24.0,36.0,3.5,17.0,22.0,99.0,-3000.0,San Antonio Spurs,12-22-2016,189.0,189.0,186.5,-15.0,-15.5,-9.0,San Antonio Spurs,Los Angeles Clippers
12196,2017,26.0,21.0,24.0,28.0,99.0,230.0,Charlotte Hornets,V,35.0,23.0,0.5,27.0,18.0,103.0,-270.0,Milwaukee Bucks,12-22-2016,202.0,187.5,192.5,-6.5,-6.5,-4.0,Milwaukee Bucks,Charlotte Hornets
12197,2017,30.0,31.0,22.0,20.0,103.0,525.0,Toronto Raptors,V,35.0,31.0,5.0,37.0,19.0,122.0,-650.0,Phoenix Suns,12-22-2016,225.0,208.0,214.0,-10.0,-10.0,-19.0,Phoenix Suns,Toronto Raptors
12198,2017,31.0,24.0,20.0,20.0,95.0,-320.0,Los Angeles Lakers,V,21.0,16.0,0.5,24.0,29.0,90.0,270.0,New York Knicks,12-23-2016,185.0,206.0,204.0,7.0,7.0,5.0,Los Angeles Lakers,New York Knicks
12199,2017,38.0,25.0,28.0,14.0,105.0,145.0,Golden State Warriors,V,22.0,28.0,5.0,17.0,29.0,96.0,-165.0,Cleveland Cavaliers,12-23-2016,201.0,209.5,209.5,-1.0,-3.5,9.0,Golden State Warriors,Cleveland Cavaliers
12200,2017,22.0,22.0,16.0,22.0,82.0,290.0,Houston Rockets,V,25.0,26.0,2.0,27.0,16.0,94.0,-350.0,Detroit Pistons,12-23-2016,176.0,183.0,183.5,-7.5,-7.5,-12.0,Detroit Pistons,Houston Rockets
12201,2017,21.0,21.0,22.0,27.0,91.0,460.0,Orlando Magic,V,27.0,22.0,3.5,29.0,25.0,103.0,-560.0,Boston Celtics,12-23-2016,194.0,192.5,193.0,-8.5,-9.5,-12.0,Boston Celtics,Orlando Magic
12202,2017,23.0,28.0,26.0,29.0,106.0,150.0,Denver Nuggets,V,31.0,35.0,100.5,21.0,18.0,105.0,-170.0,Sacramento Kings,12-23-2016,211.0,208.0,210.5,-3.0,-3.5,1.0,Denver Nuggets,Sacramento Kings
12203,2017,17.0,30.0,14.0,21.0,82.0,180.0,Miami Heat,V,25.0,18.0,3.5,24.0,29.0,96.0,-210.0,Cleveland Cavaliers,12-24-2016,178.0,194.0,194.0,-4.5,-4.5,-14.0,Cleveland Cavaliers,Miami Heat
